Fecha;Cartera;Moneda_retorno;Rentabilidad_1D
24-08-19;FONDO;CLP;0,000%
25-08-19;FONDO;CLP;0,000%
25-08-19;BENCHMARK;CLP;0,000%
26-08-19;BENCHMARK;CLP;-0,688%
26-08-19;FONDO;CLP;-0,552%
27-08-19;BENCHMARK;CLP;-0,253%
27-08-19;FONDO;CLP;-0,284%
28-08-19;FONDO;CLP;-0,327%
28-08-19;BENCHMARK;CLP;0,102%
29-08-19;FONDO;CLP;1,192%
29-08-19;BENCHMARK;CLP;1,791%
30-08-19;BENCHMARK;CLP;2,391%
30-08-19;FONDO;CLP;1,893%
31-08-19;BENCHMARK;CLP;0,000%
31-08-19;FONDO;CLP;0,000%
01-09-19;BENCHMARK;CLP;0,000%
01-09-19;FONDO;CLP;0,000%
02-09-19;FONDO;CLP;-0,185%
02-09-19;BENCHMARK;CLP;-0,670%
03-09-19;FONDO;CLP;-0,769%
03-09-19;BENCHMARK;CLP;-1,233%
04-09-19;BENCHMARK;CLP;0,935%
04-09-19;FONDO;CLP;0,257%
05-09-19;FONDO;CLP;1,019%
05-09-19;BENCHMARK;CLP;1,269%
06-09-19;BENCHMARK;CLP;0,119%
06-09-19;FONDO;CLP;0,271%
07-09-19;BENCHMARK;CLP;0,000%
07-09-19;FONDO;CLP;0,000%
08-09-19;BENCHMARK;CLP;0,000%
08-09-19;FONDO;CLP;0,000%
09-09-19;FONDO;CLP;0,404%
09-09-19;BENCHMARK;CLP;0,768%
10-09-19;FONDO;CLP;0,458%
10-09-19;BENCHMARK;CLP;0,404%
11-09-19;BENCHMARK;CLP;1,572%
11-09-19;FONDO;CLP;0,965%
12-09-19;BENCHMARK;CLP;0,359%
12-09-19;FONDO;CLP;1,164%
13-09-19;BENCHMARK;CLP;0,596%
13-09-19;FONDO;CLP;0,558%
14-09-19;FONDO;CLP;0,000%
14-09-19;BENCHMARK;CLP;0,000%
15-09-19;FONDO;CLP;0,000%
15-09-19;BENCHMARK;CLP;0,000%
16-09-19;FONDO;CLP;0,562%
16-09-19;BENCHMARK;CLP;1,304%
17-09-19;FONDO;CLP;0,351%
17-09-19;BENCHMARK;CLP;0,064%
18-09-19;BENCHMARK;CLP;0,000%
18-09-19;FONDO;CLP;0,000%
19-09-19;BENCHMARK;CLP;0,000%
19-09-19;FONDO;CLP;0,000%
20-09-19;BENCHMARK;CLP;0,000%
20-09-19;FONDO;CLP;0,000%
21-09-19;FONDO;CLP;0,000%
21-09-19;BENCHMARK;CLP;0,000%
