Fecha;Cartera;Instrumento;Peso
06-01-19;BENCHMARK;ANDINA-B;1,21%
06-01-19;BENCHMARK;BCI;5,37%
06-01-19;BENCHMARK;BSANTANDER;7,64%
06-01-19;BENCHMARK;CAP;1,11%
06-01-19;BENCHMARK;CCU;3,09%
06-01-19;BENCHMARK;CENCOSUD;4,12%
06-01-19;BENCHMARK;CHILE;7,01%
06-01-19;BENCHMARK;CMPC;5,85%
06-01-19;BENCHMARK;COLBUN;2,33%
06-01-19;BENCHMARK;CONCHATORO;1,48%
06-01-19;BENCHMARK;COPEC;7,23%
06-01-19;BENCHMARK;ECL;1,50%
06-01-19;BENCHMARK;ENELAM;8,46%
06-01-19;BENCHMARK;ENELCHILE;4,35%
06-01-19;BENCHMARK;ENELGXCH;0,49%
06-01-19;BENCHMARK;ENTEL;1,79%
06-01-19;BENCHMARK;FALABELLA;7,75%
06-01-19;BENCHMARK;ILC;0,88%
06-01-19;BENCHMARK;ITAUCORP;2,58%
06-01-19;BENCHMARK;LTM;5,14%
06-01-19;BENCHMARK;PARAUCO;2,60%
06-01-19;BENCHMARK;RIPLEY;1,32%
06-01-19;BENCHMARK;SALFACORP;0,74%
06-01-19;BENCHMARK;SECURITY;0,71%
06-01-19;BENCHMARK;SM-CHILE B;3,51%
06-01-19;BENCHMARK;SONDA;1,38%
06-01-19;BENCHMARK;SQM-B;5,86%
06-01-19;BENCHMARK;VAPORES;0,67%
07-01-19;FONDO;ANDINA-B;1,60%
07-01-19;FONDO;ANTARCHILE;1,95%
07-01-19;FONDO;BCI;7,12%
07-01-19;FONDO;BSANTANDER;6,88%
07-01-19;FONDO;Caja CLP;0,36%
07-01-19;FONDO;CAP;0,14%
07-01-19;FONDO;CCU;1,18%
07-01-19;FONDO;CENCOSUD;2,63%
07-01-19;FONDO;CFILVSCC-L;8,17%
07-01-19;FONDO;CHILE;0,27%
07-01-19;FONDO;CMPC;6,71%
07-01-19;FONDO;COLBUN;0,48%
07-01-19;FONDO;COPEC;5,43%
07-01-19;FONDO;ECL;3,12%
07-01-19;FONDO;ENELAM;9,71%
07-01-19;FONDO;ENELCHILE;4,46%
07-01-19;FONDO;ENTEL;0,93%
07-01-19;FONDO;FALABELLA;5,17%
07-01-19;FONDO;HITES;0,37%
07-01-19;FONDO;IAM;2,35%
07-01-19;FONDO;ILC;2,46%
07-01-19;FONDO;ITAUCORP;5,13%
07-01-19;FONDO;LTM;6,92%
07-01-19;FONDO;MALLPLAZA;1,17%
07-01-19;FONDO;NORTEGRAN;0,64%
07-01-19;FONDO;PARAUCO;0,59%
07-01-19;FONDO;RIPLEY;0,94%
07-01-19;FONDO;SALFACORP;0,97%
07-01-19;FONDO;SK;0,45%
07-01-19;FONDO;SM-CHILE B;3,37%
07-01-19;FONDO;SMU;1,02%
07-01-19;FONDO;SONDA;0,81%
07-01-19;FONDO;SQM-B;6,50%
07-01-19;BENCHMARK;AESGENER;1,30%
07-01-19;BENCHMARK;AGUAS-A;2,54%
07-01-19;BENCHMARK;ANDINA-B;1,20%
07-01-19;BENCHMARK;BCI;5,36%
07-01-19;BENCHMARK;BSANTANDER;7,55%
07-01-19;BENCHMARK;CAP;1,12%
07-01-19;BENCHMARK;CCU;3,10%
07-01-19;BENCHMARK;CENCOSUD;4,11%
07-01-19;BENCHMARK;CHILE;7,05%
07-01-19;BENCHMARK;CMPC;5,70%
07-01-19;BENCHMARK;COLBUN;2,33%
07-01-19;BENCHMARK;CONCHATORO;1,49%
07-01-19;BENCHMARK;COPEC;7,26%
07-01-19;BENCHMARK;ECL;1,51%
07-01-19;BENCHMARK;ENELAM;8,42%
07-01-19;BENCHMARK;ENELCHILE;4,40%
07-01-19;BENCHMARK;ENELGXCH;0,48%
07-01-19;BENCHMARK;ENTEL;1,80%
07-01-19;BENCHMARK;FALABELLA;7,76%
07-01-19;BENCHMARK;ILC;0,90%
07-01-19;BENCHMARK;ITAUCORP;2,57%
07-01-19;BENCHMARK;LTM;5,24%
07-01-19;BENCHMARK;PARAUCO;2,58%
07-01-19;BENCHMARK;RIPLEY;1,32%
07-01-19;BENCHMARK;SALFACORP;0,75%
07-01-19;BENCHMARK;SECURITY;0,71%
07-01-19;BENCHMARK;SM-CHILE B;3,54%
07-01-19;BENCHMARK;SONDA;1,37%
07-01-19;BENCHMARK;SQM-B;5,92%
07-01-19;BENCHMARK;VAPORES;0,66%
08-01-19;FONDO;ANDINA-B;1,60%
08-01-19;FONDO;ANTARCHILE;1,96%
08-01-19;FONDO;BCI;7,09%
08-01-19;FONDO;BSANTANDER;6,85%
08-01-19;FONDO;Caja CLP;0,04%
08-01-19;FONDO;CAP;0,14%
08-01-19;FONDO;CCU;1,19%
08-01-19;FONDO;CENCOSUD;2,67%
08-01-19;FONDO;CFILVSCC-L;8,22%
08-01-19;FONDO;CHILE;0,27%
08-01-19;FONDO;CMPC;6,63%
08-01-19;FONDO;COLBUN;0,48%
08-01-19;FONDO;COPEC;5,42%
08-01-19;FONDO;ECL;3,10%
08-01-19;FONDO;ENELAM;9,73%
08-01-19;FONDO;ENELCHILE;4,44%
08-01-19;FONDO;ENTEL;0,94%
08-01-19;FONDO;FALABELLA;5,16%
08-01-19;FONDO;HITES;0,37%
08-01-19;FONDO;IAM;2,37%
08-01-19;FONDO;ILC;2,52%
08-01-19;FONDO;ITAUCORP;5,16%
08-01-19;FONDO;LTM;7,05%
08-01-19;FONDO;MALLPLAZA;1,17%
08-01-19;FONDO;NORTEGRAN;0,64%
08-01-19;FONDO;PARAUCO;0,59%
08-01-19;FONDO;RIPLEY;0,93%
08-01-19;FONDO;SALFACORP;0,97%
08-01-19;FONDO;SK;0,44%
08-01-19;FONDO;SM-CHILE B;3,39%
08-01-19;FONDO;SMU;1,01%
08-01-19;FONDO;SONDA;0,81%
08-01-19;FONDO;SQM-B;6,64%
08-01-19;BENCHMARK;AESGENER;1,28%
08-01-19;BENCHMARK;AGUAS-A;2,52%
08-01-19;BENCHMARK;ANDINA-B;1,20%
08-01-19;BENCHMARK;BCI;5,32%
08-01-19;BENCHMARK;BSANTANDER;7,54%
08-01-19;BENCHMARK;CAP;1,10%
08-01-19;BENCHMARK;CCU;3,10%
08-01-19;BENCHMARK;CENCOSUD;4,22%
08-01-19;BENCHMARK;CHILE;6,99%
08-01-19;BENCHMARK;CMPC;5,60%
08-01-19;BENCHMARK;COLBUN;2,33%
08-01-19;BENCHMARK;CONCHATORO;1,47%
08-01-19;BENCHMARK;COPEC;7,20%
08-01-19;BENCHMARK;ECL;1,49%
08-01-19;BENCHMARK;ENELAM;8,43%
08-01-19;BENCHMARK;ENELCHILE;4,35%
08-01-19;BENCHMARK;ENELGXCH;0,48%
08-01-19;BENCHMARK;ENTEL;1,82%
08-01-19;BENCHMARK;FALABELLA;7,72%
08-01-19;BENCHMARK;ILC;0,91%
08-01-19;BENCHMARK;ITAUCORP;2,58%
08-01-19;BENCHMARK;LTM;5,34%
08-01-19;BENCHMARK;PARAUCO;2,59%
08-01-19;BENCHMARK;RIPLEY;1,32%
08-01-19;BENCHMARK;SALFACORP;0,75%
08-01-19;BENCHMARK;SECURITY;0,70%
08-01-19;BENCHMARK;SM-CHILE B;3,54%
08-01-19;BENCHMARK;SONDA;1,37%
08-01-19;BENCHMARK;SQM-B;6,10%
08-01-19;BENCHMARK;VAPORES;0,66%
09-01-19;FONDO;ANDINA-B;1,60%
09-01-19;FONDO;ANTARCHILE;1,93%
09-01-19;FONDO;BCI;6,99%
09-01-19;FONDO;BSANTANDER;6,48%
